book,vote,vote_title,row_type,head_code,head_title,approved_estimates_2025_2026,gross_expenditure_2026_2027,appropriations_in_aid_2026_2027,net_expenditure_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-development-book-volume-iii-1104-2111,1271,Ethics and Anti-Corruption Commission,head,1271100400,Automation of EACC Business Processes,0,0,0,0,0,127270000,960,yes
fy-2026-27-development-book-volume-iii-1104-2111,1271,Ethics and Anti-Corruption Commission,vote_total,,TOTAL FOR VOTE,180000000,123000000,0,123000000,205550000,281140000,960,yes
fy-2026-27-development-book-volume-iii-1104-2111,1291,Office of the Director of Public Prosecutions,head,1291100400,Wajir ODPP Office,0,0,0,0,0,18000000,963,yes
fy-2026-27-development-book-volume-iii-1104-2111,1291,Office of the Director of Public Prosecutions,head,1291100600,Turkana ODPP Office,0,0,0,0,18000000,20000000,963,yes
fy-2026-27-development-book-volume-iii-1104-2111,1291,Office of the Director of Public Prosecutions,head,1291100700,Containerized Offices,25000000,25000000,0,25000000,12490000,12500000,963,yes
fy-2026-27-development-book-volume-iii-1104-2111,1291,Office of the Director of Public Prosecutions,head,1291100800,Refurbishment of ODPP County Office,10000000,0,0,0,0,0,963,yes
fy-2026-27-development-book-volume-iii-1104-2111,1291,Office of the Director of Public Prosecutions,head,1291101000,UNFPA 8th Country Programme on FGM,6000000,6000000,0,6000000,6000000,6000000,963,yes
fy-2026-27-development-book-volume-iii-1104-2111,1291,Office of the Director of Public Prosecutions,head,1291101500,Construction of Prosecution Training Institute (PTI),20650965,0,0,0,0,0,963,yes
fy-2026-27-development-book-volume-iii-1104-2111,1291,Office of the Director of Public Prosecutions,head,1291101700,Uadilifu Case Management System,24349035,10000000,0,10000000,10000000,9500000,963,yes
fy-2026-27-development-book-volume-iii-1104-2111,1291,Office of the Director of Public Prosecutions,head,1291101800,Construction of ODPP Offices,0,0,0,0,18000000,20000000,963,yes
fy-2026-27-development-book-volume-iii-1104-2111,1291,Office of the Director of Public Prosecutions,head,1291101900,Acquisition of ODPP headquarters - Union House,200000000,450000000,0,450000000,0,0,963,yes
fy-2026-27-development-book-volume-iii-1104-2111,1291,Office of the Director of Public Prosecutions,vote_total,,TOTAL FOR VOTE,286000000,491000000,0,491000000,64490000,86000000,963,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331100200,Phasing out Ozone Depleting Substances Project Operationalized,20000000,20000000,0,20000000,40000000,35000000,971,yes
fy-2026-27-development-book-volume-iii-1104-2111,1331,State Department for Environment & Climate Change,head,1331100400,Green Innovation Award Project-NetFund,8500000,18500000,0,18500000,40000000,80000000,971,yes
