book,vote,vote_title,programme_code,programme_title,prog_level,section,row_type,econ_code,econ_title,baseline_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,1014,State Department for Parliamentary Affairs,vote,current,econ,2100000,Compensation to Employees,198885366,207200000,223800000,230500000,69,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,1014,State Department for Parliamentary Affairs,vote,current,econ,2200000,Use of Goods and Services,211051279,144361100,187335000,197050000,69,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,1014,State Department for Parliamentary Affairs,vote,current,econ,3100000,Non Financial Assets,29600000,9640000,11865000,12350000,69,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,1014,State Department for Parliamentary Affairs,vote,current,current_total,,Current Expenditure,439536645,361201100,423000000,439900000,69,yes
fy-2026-27-program-based-1011-2151,1014,State Department for Parliamentary Affairs,1014,State Department for Parliamentary Affairs,vote,total,total,,Total Expenditure,439536645,361201100,423000000,439900000,69,yes
fy-2026-27-program-based-1011-2151,1016,State Department for Cabinet Affairs,1016,State Department for Cabinet Affairs,vote,current,econ,2100000,Compensation to Employees,92668242,136300000,140400000,144600000,79,yes
fy-2026-27-program-based-1011-2151,1016,State Department for Cabinet Affairs,1016,State Department for Cabinet Affairs,vote,current,econ,2200000,Use of Goods and Services,129119707,114394864,146958155,155005289,79,yes
fy-2026-27-program-based-1011-2151,1016,State Department for Cabinet Affairs,1016,State Department for Cabinet Affairs,vote,current,econ,3100000,Non Financial Assets,13386950,18691859,23841845,24594711,79,yes
fy-2026-27-program-based-1011-2151,1016,State Department for Cabinet Affairs,1016,State Department for Cabinet Affairs,vote,current,current_total,,Current Expenditure,235174899,269386723,311200000,324200000,79,yes
fy-2026-27-program-based-1011-2151,1016,State Department for Cabinet Affairs,1016,State Department for Cabinet Affairs,vote,total,total,,Total Expenditure,235174899,269386723,311200000,324200000,79,yes
fy-2026-27-program-based-1011-2151,1017,State House,1017,State House,vote,current,econ,2100000,Compensation to Employees,3601386814,3050100000,3141600000,3235900000,88,yes
fy-2026-27-program-based-1011-2151,1017,State House,1017,State House,vote,current,econ,2200000,Use of Goods and Services,12159045270,9355553077,9189882755,9416021458,88,yes
fy-2026-27-program-based-1011-2151,1017,State House,1017,State House,vote,current,econ,3100000,Non Financial Assets,493456162,211145436,121117245,121978542,88,yes
