gid,countycode,countyname,shape_leng,shape_area,cnt_code,cnt__name,total_area,totalpop_2,pop_densit,ruralpop_2,population,rai,rai_1,cntycode,poor_pop
21,21,Murang'a,300646.333276,2526335236.31,21,Murang'a,2559,1265387,0,1024809,996308,97,98,021,274000
22,22,Kiambu,361725.568586,2544559260.03,22,Kiambu,2243,2179209,971.559964333,743956,684555,0.92,97,022,435000
23,23,Turkana,1604081.25454,70350471928.7,23,Turkana,68680,1148348,16.7202679091,1148348,181622,0.16,17,023,860000
24,24,West Pokot,533999.818219,9338758208.59,24,West Pokot,9169,688271,75.0650016359,678643,294123,0.43,56,024,373000
25,25,Samburu,902069.546366,21022114412.2,25,Samburu,21022,300642,14.3013033964,294340,31122,0.11,34,025,215000
26,26,Trans Nzoia,281522.055931,2495696185.7,26,Trans Nzoia,2495,1099157,0,907868,582648,64,64,026,353000
27,27,Uasin Gishu,451049.195371,3406424170.53,27,Uasin Gishu,3218,1200409,0,813518,485788,60,99,027,465000
28,28,Elgeyo-Marakwet,491164.472239,3018445959.93,28,Elgeyo-Marakwet,3029,496712,0,487350,333119,68,85,028,204000
29,29,Nandi,359426.940024,2846545450.14,29,Nandi,2885,1010834,350.375736568,948372,523337,0.55,90,029,343000
30,30,Baringo,725263.061831,10911344994.2,30,Baringo,8646,745824,86.2623178348,710973,348665,0.49,46,030,278000
31,31,Laikipia,608401.949289,9543252145.9,31,Laikipia,9462,535951,56.6424645952,460179,333355,0.72,73,031,233000
32,32,Nakuru,731527.116347,7488740461.93,32,Nakuru,7495,2152417,287.180386925,1615952,983456,0.61,86,032,592000
33,33,Narok,795556.189468,17939519063.8,33,Narok,17921.2,1077719,60,1057973,377322,0.36,36,033,243000
34,34,Kajiado,827502.852605,21897461354.7,34,Kajiado,21292.7,870721,41,539035,235362,0.44,44,034,355000
35,35,Kericho,420599.551581,2592078145.7,35,Kericho,2479,792984,319.880597015,689003,592652,0.86,92,035,286000
36,36,Bomet,352504.250752,2379285912.05,36,Bomet,1882,1197262,636.164718385,1137761,1075548,0.95,96,036,447000
37,37,Kakamega,482863.589333,3022866018.35,37,Kakamega,1395,2229375,1598.11827957,1659442,1344436,0.81,99,037,672000
38,38,Vihiga,162921.215038,563062069.384,38,Vihiga,530,744564,1404.83773585,54935,48004,0.87,91,038,271000
39,39,Bungoma,348073.426513,3046189077.86,39,Bungoma,2069,1845982,892.209763171,1581480,1304664,0.82,94,039,555000
40,40,Busia,326801.414588,1815841779.19,40,Busia,1135,997566,878.91277533,892284,793645,0.89,97,040,583000
41,41,Siaya,329286.082884,3542109210.86,41,Siaya,2530,1130769,446.944268775,1038982,815566,0.78,98,041,333000
42,42,Kisumu,359967.122979,2676760447.5,42,Kisumu,2086,1300732,623.553211889,770910,693276,0.9,97,042,384000
43,43,Homa Bay,387113.449123,4759184531.97,43,Homa Bay,3183,1293865,0,1177995,849761,72,92,043,360000
44,44,Migori,340456.801422,3164945286.22,44,Migori,2596,1231274,474.296610169,1095543,931660,0.85,85,044,464000
45,45,Kisii,195198.371428,1321022215.7,45,Kisii,1318,1546905,1173.67602428,435648,377455,0.87,100,045,562000
46,46,Nyamira,170985.74057,900851834.298,46,Nyamira,900,803136,892.373333333,356645,328275,0.92,99,046,429000
47,47,Nairobi,187447.21726,707988529.944,47,Nairobi,694.85,4253334,6121,76942,73282,0.95,95,047,745000
