isocode,country,year,igov_n,ipriv_n,GDP_n,igov_rppp,ipriv_rppp,ippp_rppp,GDP_rppp
KEN,Kenya,1960,,,9.16479206085205,0.7656639814376831,2.316446304321289,,21.081186294555664
KEN,Kenya,1961,,,9.186690330505371,0.7962905168533325,2.409104108810425,,20.327787399291992
KEN,Kenya,1962,,,10.076743125915527,0.8281421661376953,2.5054683685302734,,22.005268096923828
KEN,Kenya,1963,,,10.777825355529785,0.8612678647041321,2.605687141418457,,22.95661735534668
KEN,Kenya,1964,,,11.523905754089355,0.8957185745239258,2.709914445877075,,24.324865341186523
KEN,Kenya,1965,,,11.588093757629395,0.9315472841262817,2.8183109760284424,,25.506301879882812
KEN,Kenya,1966,,,13.287447929382324,0.9688091278076172,2.9310431480407715,,28.541318893432617
KEN,Kenya,1967,,,14.105195045471191,1.007561445236206,3.0482847690582275,,29.75074577331543
KEN,Kenya,1968,,,15.410594940185547,1.0478639602661133,3.1702160835266113,,29.74360466003418
KEN,Kenya,1969,,,16.53849220275879,1.0490087270736694,3.337794303894043,,31.639259338378906
KEN,Kenya,1970,0.6823607087135315,2.171173334121704,17.989185333251953,1.1175938844680786,3.5560224056243896,,29.964548110961914
KEN,Kenya,1971,1.0470044612884521,2.589357376098633,19.935659408569336,1.597968339920044,3.951951742172241,,31.912532806396484
KEN,Kenya,1972,1.0666264295578003,2.973775625228882,22.35305404663086,1.400864601135254,3.9056379795074463,,33.516754150390625
KEN,Kenya,1973,1.096321702003479,3.338265895843506,25.915292739868164,1.290561318397522,3.929719924926758,,35.260658264160156
KEN,Kenya,1974,1.1018743515014648,3.899355173110962,31.407079696655273,1.0188894271850586,3.605684280395508,,36.989280700683594
KEN,Kenya,1975,1.288028359413147,4.674028396606445,35.44428253173828,1.0244821310043335,3.717665433883667,,36.851600646972656
KEN,Kenya,1976,1.6443836688995361,5.500229835510254,43.04372787475586,1.0788109302520752,3.608468770980835,,38.33545684814453
